target,feature_count,features,split,held_out_group,n_usable,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
style_viability,3,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction+clip_patch_nearest_p10,leave_one_reference_family_out,monet,23,18,5,0.6,0.6,0.5,0.959935868233907
style_viability,3,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction+clip_patch_nearest_p10,leave_one_reference_family_out,peixotto,23,21,2,1.0,1.0,,0.8522504230800754
style_viability,3,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction+clip_patch_nearest_p10,leave_one_reference_family_out,van_gogh,23,20,3,1.0,1.0,,0.785314933727319
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,church,21,17,4,0.0,1.0,,0.1826963146637526
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,city,21,19,2,1.0,0.0,,0.0915294669461843
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,coast,21,20,1,1.0,0.0,,0.05842894280539274
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,forest,21,17,4,0.0,1.0,,0.08385455859345738
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,lake,21,15,6,0.0,1.0,,0.057308766563761736
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,snow,21,20,1,0.0,1.0,,0.4065972168722948
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,wave,21,18,3,0.0,1.0,,0.11805244393800816
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,demuth,21,17,4,0.25,0.75,0.5,0.16919159531721745
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,hokusai,21,18,3,0.3333333333333333,0.6666666666666666,0.5,0.040271872646581185
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,kulhanek,21,17,4,0.0,1.0,,0.19269574408796147
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,monet,21,16,5,0.2,0.8,0.5,0.16982504387501524
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,peixotto,21,19,2,0.0,1.0,,0.10406999794126827
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,van_gogh,21,18,3,0.0,1.0,,0.1121223659137341
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,church,21,17,4,0.0,1.0,,0.2762033565066787
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,city,21,19,2,1.0,0.0,,0.09286621937215792
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,coast,21,20,1,1.0,0.0,,0.055216576832774
