target,feature,n_low,n_high,median_low,median_high,high_minus_low,cliffs_delta_high_vs_low
style_valid,content_canny_density,3,20,0.07459259033203125,0.08988571166992188,0.015293121337890625,-0.11666666666666667
style_valid,content_lsd_line_density,3,20,0.036524698138237,0.046675482764840126,0.010150784626603127,0.21666666666666667
style_valid,content_lsd_length_mean,3,20,16.797773361206055,13.527180671691895,-3.27059268951416,-0.25
style_valid,content_lsd_length_p90,3,20,29.034586524963395,21.31892318725586,-7.715663337707536,-0.25
style_valid,content_lsd_orientation_entropy,3,20,0.5980039911605619,0.7899444500760029,0.19194045891544098,0.05
style_valid,content_lsd_orientation_max_share,3,20,0.4948162655845215,0.27265770997668476,-0.22215855560783676,-0.45
style_valid,reference_canny_density,3,20,0.163665771484375,0.12119293212890625,-0.04247283935546875,-0.25
style_valid,reference_minus_content_canny_density,3,20,0.046600341796875,0.02982330322265625,-0.01677703857421875,0.0
style_valid,reference_div_content_canny_density,3,20,1.6247315127339674,1.3508462976077962,-0.27388521512617126,-0.16666666666666666
style_valid,reference_lsd_line_density,3,20,0.04983283951878548,0.05479323863983154,0.004960399121046066,0.55
style_valid,reference_minus_content_lsd_line_density,3,20,0.013308141380548477,0.012002410367131233,-0.001305731013417244,0.1
style_valid,reference_div_content_lsd_line_density,3,20,1.364360064802738,1.3205632758725878,-0.043796788930150266,0.1
style_valid,reference_lsd_length_mean,3,20,10.205765724182129,14.8955659866333,4.689800262451172,0.5833333333333334
style_valid,reference_minus_content_lsd_length_mean,3,20,-4.219837188720703,1.901965618133545,6.121802806854248,0.5
style_valid,reference_div_content_lsd_length_mean,3,20,0.7074758528847128,1.1297917150951684,0.4223158622104556,0.5666666666666667
style_valid,reference_lsd_length_p90,3,20,15.449585914611816,28.061481475830078,12.611895561218262,0.5833333333333334
style_valid,reference_minus_content_lsd_length_p90,3,20,-8.104928779602066,6.181906986236562,14.286835765838628,0.5
style_valid,reference_div_content_lsd_length_p90,3,20,0.6559076302432576,1.2453672512124512,0.5894596209691936,0.6
style_valid,reference_lsd_orientation_entropy,3,20,0.8746838757167728,0.8991099094142958,0.024426033697523053,-0.11666666666666667
style_valid,reference_minus_content_lsd_orientation_entropy,3,20,0.27667988455621084,0.11166452861556275,-0.1650153559406481,-0.1
