case,profile_label,baseline_takeover_median,style_gain_median,incremental_takeover_max_median,incremental_nonzero_interval_count,late_escalation_frequency,content_canny_density,content_lsd_line_density,content_lsd_length_mean,content_lsd_length_p90,content_lsd_orientation_entropy,content_lsd_orientation_max_share,reference_canny_density,reference_minus_content_canny_density,reference_div_content_canny_density,reference_lsd_line_density,reference_minus_content_lsd_line_density,reference_div_content_lsd_line_density,reference_lsd_length_mean,reference_minus_content_lsd_length_mean,reference_div_content_lsd_length_mean,reference_lsd_length_p90,reference_minus_content_lsd_length_p90,reference_div_content_lsd_length_p90,reference_lsd_orientation_entropy,reference_minus_content_lsd_orientation_entropy,reference_div_content_lsd_orientation_entropy,reference_lsd_orientation_max_share,reference_minus_content_lsd_orientation_max_share,reference_div_content_lsd_orientation_max_share,lab_mean_distance,lab_std_distance,contrast_abs_difference,log_laplacian_variance_ratio,high_frequency_abs_difference,color_histogram_distance,orientation_distribution_js,rgb_patch_nearest_cosine_mean,rgb_patch_nearest_cosine_p10,rgb_patch_mutual_nearest_fraction,clip_global_cosine,clip_patch_mutual_nearest_fraction,clip_patch_nearest_mean,clip_patch_nearest_p10,dino_global_cosine,dino_patch_mutual_nearest_fraction,dino_patch_nearest_mean,dino_patch_nearest_p10
v1_5_demuth_church,P3_moderate_susceptibility_high_response,1.0,4.0,1.0,3.0,1.0,0.10466384887695312,0.03356057405471802,11.235891342163086,17.525436782836916,0.9309565189368969,0.14679699419317385,0.0579376220703125,-0.046726226806640625,0.5535590625797281,0.05479323863983154,0.021232664585113525,1.6326669070229622,26.948816299438477,15.71292495727539,2.3984582512214296,51.824259185791014,34.2988224029541,2.957088021711605,0.8991099094142958,-0.0318466095226011,0.9657915177832707,0.163031348567863,0.016234354374689147,1.1105905094577477,26.322316228468836,21.060939104823714,16.929885864257812,0.13656880448580333,0.0014554412445306197,0.4844159483909607,0.03733707338683281,0.9892793893814087,0.9804210066795349,0.0625,0.18293660879135132,0.0703125,0.5137431621551514,0.4136250913143158,-0.004748838022351265,0.07421875,0.31194838881492615,0.18269801884889603
clean_demuth_G1_water_lake,P3_moderate_susceptibility_high_response,1.0,3.0,0.0,0.0,0.3333333333333333,0.061679840087890625,0.06152842566370964,24.25459861755371,42.022977447509795,0.43999245013512844,0.4366042702141263,0.0579376220703125,-0.003742218017578125,0.9393283443626693,0.05479323863983154,-0.0067351870238780975,0.890535359043802,26.948816299438477,2.6942176818847656,1.111080695432943,51.824259185791014,9.801281738281219,1.2332362515370034,0.8991099094142958,0.45911745927916736,2.043466675708107,0.163031348567863,-0.2735729216462633,0.3734075905577071,29.38698239927932,31.528352627569912,28.82616424560547,0.3172541280802294,0.05195921522449193,0.42046988010406494,0.2892294307833973,0.9956586360931396,0.9893054068088531,0.08203125,0.22487235069274902,0.06640625,0.5084224343299866,0.41779758036136627,0.0358026921749115,0.1171875,0.2726646065711975,0.18755614757537842
clean_demuth_G1_forest,P2_low_response,0.0,2.0,1.0,2.0,0.6666666666666666,0.07459259033203125,0.036524698138237,16.797773361206055,29.034586524963395,0.5980039911605619,0.4948162655845215,0.0579376220703125,-0.01665496826171875,0.7767208755241894,0.05479323863983154,0.018268540501594543,1.5001695135837294,26.948816299438477,10.151042938232422,1.6043088402225945,51.824259185791014,22.78967266082762,1.7849146617339802,0.8991099094142958,0.3011059182537339,1.5035182418588375,0.163031348567863,-0.3317849170166585,0.3294785557933826,101.44786912662079,37.59606111680022,40.46049499511719,0.20775269581198372,0.11846038332868014,0.4699520170688629,0.13102722146025633,0.9962328672409058,0.9941807389259338,0.0859375,0.2120783030986786,0.04296875,0.48628729581832886,0.40164896845817566,0.012059773318469524,0.08203125,0.18024085462093353,0.12756358832120895
clean_demuth_G4_city_mismatch,P4_high_initial_susceptibility,2.0,1.0,1.0,2.0,0.6666666666666666,0.18457794189453125,0.045013975352048874,14.425602912902832,23.554514694213882,0.884005503207035,0.21503254075616465,0.0579376220703125,-0.12664031982421875,0.3138924482288265,0.05479323863983154,0.009779263287782669,1.2172494922143675,26.948816299438477,12.523213386535645,1.868124088965071,51.824259185791014,28.269744491577132,2.200183695507067,0.8991099094142958,0.015104406207260834,1.0170863259928409,0.163031348567863,-0.052001192188301654,0.7581705912721917,15.316017035145894,20.994665159496762,16.29995346069336,-1.3712772002374172,0.1512547308735841,0.4226972162723541,0.05142444873104481,0.9994781613349915,0.9990420341491699,0.08203125,0.27197128534317017,0.0625,0.5282120108604431,0.4356631636619568,-0.005841417238116264,0.078125,0.24132157862186432,0.1618022844195366
