target,feature,common_n,common_rho,multiseed_n,multiseed_rho,same_nonzero_direction
style_valid,content_canny_density,23,-0.06943474721251194,9,,
style_valid,content_lsd_line_density,23,0.12895024482323647,9,,
style_valid,content_lsd_length_mean,23,-0.1487887440268113,9,,
style_valid,content_lsd_length_p90,23,-0.1487887440268113,9,,
style_valid,content_lsd_orientation_entropy,23,0.02975774880536226,9,,
style_valid,content_lsd_orientation_max_share,23,-0.26781973924826036,9,,
style_valid,reference_canny_density,23,-0.14837042340747472,9,,
style_valid,reference_minus_content_canny_density,23,0.0,9,,
style_valid,reference_div_content_canny_density,23,-0.09731236802019037,9,,
style_valid,reference_lsd_line_density,23,0.3264149314964444,9,,
style_valid,reference_minus_content_lsd_line_density,23,0.05838742081211422,9,,
style_valid,reference_div_content_lsd_line_density,23,0.05838742081211422,9,,
style_valid,reference_lsd_length_mean,23,0.346197654617441,9,,
style_valid,reference_minus_content_lsd_length_mean,23,0.2919371040605711,9,,
style_valid,reference_div_content_lsd_length_mean,23,0.33086205126864726,9,,
style_valid,reference_lsd_length_p90,23,0.346197654617441,9,,
style_valid,reference_minus_content_lsd_length_p90,23,0.2919371040605711,9,,
style_valid,reference_div_content_lsd_length_p90,23,0.3503245248726854,9,,
style_valid,reference_lsd_orientation_entropy,23,-0.06923953092348821,9,,
style_valid,reference_minus_content_lsd_orientation_entropy,23,-0.05838742081211422,9,,
style_valid,reference_div_content_lsd_orientation_entropy,23,-0.05838742081211422,9,,
style_valid,reference_lsd_orientation_max_share,23,0.18793586964946796,9,,
style_valid,reference_minus_content_lsd_orientation_max_share,23,0.23354968324845687,9,,
style_valid,reference_div_content_lsd_orientation_max_share,23,0.23354968324845687,9,,
style_valid,lab_mean_distance,23,-0.23354968324845687,9,,
style_valid,lab_std_distance,23,-0.23354968324845687,9,,
style_valid,contrast_abs_difference,23,-0.3503245248726854,9,,
style_valid,log_laplacian_variance_ratio,23,-0.03892494720807614,9,,
style_valid,high_frequency_abs_difference,23,-0.42817441928883765,9,,
style_valid,color_histogram_distance,23,0.15569978883230456,9,,
style_valid,orientation_distribution_js,23,-0.09731236802019037,9,,
style_valid,rgb_patch_nearest_cosine_mean,23,-0.42817441928883765,9,,
style_valid,rgb_patch_nearest_cosine_p10,23,-0.42817441928883765,9,,
style_valid,rgb_patch_mutual_nearest_fraction,23,-0.04880106626826729,9,,
style_valid,clip_global_cosine,23,-0.33086205126864726,9,,
style_valid,clip_patch_nearest_mean,23,-0.05838742081211422,9,,
style_valid,clip_patch_nearest_p10,23,-0.13623731522826651,9,,
style_valid,clip_patch_mutual_nearest_fraction,23,-0.1368471843981462,9,,
style_valid,dino_global_cosine,23,-0.23354968324845687,9,,
style_valid,dino_patch_nearest_mean,23,-0.07784989441615228,9,,
style_valid,dino_patch_nearest_p10,23,-0.13623731522826651,9,,
style_valid,dino_patch_mutual_nearest_fraction,23,-0.21456478735694692,9,,
baseline_takeover_02,content_canny_density,23,0.5201727662551744,9,0.5314940034527339,1
baseline_takeover_02,content_lsd_line_density,23,-0.22133525758777223,9,-0.10629880069054677,1
baseline_takeover_02,content_lsd_length_mean,23,-0.2527550891065411,9,0.10629880069054677,0
baseline_takeover_02,content_lsd_length_p90,23,-0.23879071954264383,9,-0.053149400345273386,1
