case_id,compat_group,scene_type,content,style,semantic_match,layout_match,directional_match,rigidity_level,expected_failure,prompt
compat_G1_water_lake,G1,natural_landscape,data/raw/photo_ref/photo_water_lake_and_boat.jpg,data/raw/monet/monet_pond_water_lilies_1907.jpg,high,high,medium,low,F1_minor,"a lake with boat and open water, preserve horizon and water surface, painterly water and reflection style"
compat_G1_forest,G1,vegetation,data/raw/photo_ref/photo_forest_trees.jpg,data/raw/klimt/klimt_birch_forest_1903.jpg,high,high,medium,medium,F1_F2_minor,"a forest scene with preserved path, trunks, and depth, decorative painterly forest texture"
compat_G1_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/van_gogh/van_gogh_church_auvers_1890.jpg,high,high,medium,high,F1_F2,"a church scene with preserved roof geometry, facade layout, and painterly postimpressionist texture"
compat_G2_opposite_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/hokusai/hokusai_great_wave_1831.jpg,high,medium,low,medium,F2_F3,"an ocean wave scene with preserved wave direction and water motion, ukiyo-e linework and blue-white foam"
compat_G3_flower_bed,G3,vegetation,data/raw/photo_ref/photo_flower_bed.jpg,data/raw/monet/monet_garden_giverny_1900.jpg,high,low,medium,medium,F5_path_transfer,"a flower bed scene with preserved flower-bed viewpoint, impressionist garden color and brushwork"
compat_G4_sea_cliff_wave,G4,water_coast,data/raw/photo_ref/photo_sea_coast.jpg,data/raw/hokusai/hokusai_great_wave_1831.jpg,medium,low,low,high,F3_F5,"a sea cliff coast scene with preserved cliff mass and shoreline, ukiyo-e color and line texture"
compat_G4_city_mismatch,G4,city_architecture,data/raw/photo_ref/photo_seregei_street.jpg,data/raw/monet/monet_boulevard_capucines_1873.jpg,medium,low,medium,high,F3_F5,"a city scene with preserved street layout and skyline, impressionist urban brushwork and atmosphere"
