case_id,compat_group,scene_type,content,style,semantic_match,layout_match,directional_match,rigidity_level,expected_failure,prompt
v1_5_kulhanek_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,medium,medium,medium,high,clean_architecture_style,"a church scene with preserved roof geometry, facade layout, and clean watercolor architectural texture"
v1_5_kulhanek_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,low,medium,clean_cross_style_probe,"an ocean wave scene with preserved wave direction and water motion, clean watercolor color and line texture"
v1_5_kulhanek_snow_street,G3,city_architecture,data/raw/photo_ref/photo_snow_winter.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,high,medium,medium,medium_high,street_corridor_pressure,"a snowy street scene with preserved road corridor, building edges, and winter atmosphere, clean watercolor urban brushwork"
v1_5_demuth_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,high,medium,medium,high,geometric_takeover,"a church scene with preserved roof geometry, facade layout, and precisionist color planes without copied buildings"
v1_5_demuth_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,low,medium,geometric_object_leakage,"an ocean wave scene with preserved wave direction and water motion, precisionist color planes without buildings or hard false edges"
v1_5_demuth_snow_street,G3,city_architecture,data/raw/photo_ref/photo_snow_winter.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,high,medium,medium,medium_high,geometric_perspective_pressure,"a snowy street scene with preserved road corridor, building edges, and winter atmosphere, precisionist planes without copied facades"
