target,rank,feature,role
initial_susceptibility,1,content_canny_density,content_complexity
initial_susceptibility,2,clip_patch_mutual_nearest_fraction,local_correspondence
initial_susceptibility,3,content_lsd_orientation_entropy,orientation_complexity
style_responsiveness,1,clip_patch_mutual_nearest_fraction,local_correspondence
style_responsiveness,2,dino_patch_nearest_p10,semantic_patch_support
style_responsiveness,3,dino_patch_nearest_mean,semantic_patch_support
pressure_escalation,1,reference_div_content_lsd_line_density,relative_geometry_imbalance
pressure_escalation,2,reference_div_content_lsd_length_p90,relative_geometry_imbalance
pressure_escalation,3,content_lsd_length_mean,content_geometry_context
